"treatment","df","coef.narea","Chisq.narea","P_value.narea","coef.nmass","Chisq.nmass","P_value.nmass","coef.marea","Chisq.marea","P_value.marea"
"(Intercept)","-"," 2.05e+00","-","-","-2.08e-03","-","-"," 6.61e+00","-","-"
"chi","1","-1.68e+00","5.579","0.018"," 8.51e-01","0.127","0.722","-2.55e+00","6.56","0.01"
"soil.no3n","1","-1.76e-02","5.807","0.016"," 1.12e-02","82.829","<0.001","-3.45e-02","43.217","<0.001"
"wn90_perc","1"," 4.61e-01","9.107","0.003"," 8.15e-01","5.094","0.024","-3.74e-01","0.538","0.463"
"pft","2","-","40.208","<0.001","-","13.582","0.001","-","7.471","0.024"
"soil.no3n:wn90_perc","1"," 6.92e-02","1.796","0.18","-2.01e-02","3.868","0.049"," 1.07e-01","0.091","0.763"
"chi:pft","2","-","23.869","<0.001","-","3.546","0.17","-","26.294","<0.001"
"soil.no3n:pft","2","-","6.138","0.046","-","1.702","0.427","-","16.622","<0.001"
"wn90_perc:pft","2","-","1.354","0.508","-","1.721","0.423","-","0.454","0.797"
"soil.no3n:wn90_perc:pft","2","-","4.87","0.088","-","0.055","0.973","-","7.996","0.018"
