"treatment","df","coef.narea","Chisq.narea","P_value.narea","coef.nmass","Chisq.nmass","P_value.nmass","coef.marea","Chisq.marea","P_value.marea"
"Intercept","-"," 2.11e+00","-","-"," 7.89e-01","-","-"," 5.63e+00","-","-"
"Chi","1","-2.08e+00","3.402","0.065","-3.43e-01","0.076","0.782","-1.28e+00","4.802","0.028"
"Soil N (N)","1"," 8.97e-03","5.465","0.019"," 1.20e-02","71.997","<0.001","-1.48e-03","42.746","<0.001"
"Soil moisture (SM)","1"," 6.68e-01","8.34","0.004"," 4.07e-01","2.869","0.09"," 1.78e-01","0.973","0.324"
"C3/C4","1","-","26.972","<0.001","-","11.115","<0.001","-","5.683","0.017"
"SM * N","1","-1.95e-02","2.955","0.086","-1.77e-02","3.75","0.053","-7.95e-03","0.323","0.57"
"Chi * C3/C4","1","-","24.135","<0.001","-","1.779","0.182","-","10.678","0.001"
"N * C3/C4","1","-","0.256","0.613","-","0.679","0.41","-","0.148","0.701"
"SM * C3/C4","1","-","0.627","0.429","-","0.203","0.652","-","0.016","0.9"
"SM * N * C3/C4","1","-","0.284","0.594","-","0.048","0.826","-","0.804","0.37"
