"photo","sm_days","vpd_days","AICc","deltaAICc","weight","BIC","logLik","RMSE","RMSE_perf","R2_marg","R2_cond","ICC","nobs","convergence","formula","sm_days_factor","vpd_days_factor"
"c3",20,90,-1019.974,0,0.247,-994.048,517.169,0.04,0.04,0.147,0.599,0.53,316,"OK","vpd90 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","90"
"c3",30,90,-1019.177,0.797,0.166,-993.251,516.77,0.041,0.041,0.147,0.597,0.527,316,"OK","vpd90 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","90"
"c3",15,90,-1018.686,1.288,0.13,-992.76,516.525,0.041,0.041,0.144,0.596,0.528,316,"OK","vpd90 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","90"
"c3",10,90,-1017.007,2.968,0.056,-991.08,515.685,0.041,0.041,0.139,0.593,0.527,316,"OK","vpd90 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","90"
"c3",9,90,-1016.825,3.149,0.051,-990.898,515.594,0.041,0.041,0.138,0.592,0.527,316,"OK","vpd90 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","90"
"c3",8,90,-1016.665,3.309,0.047,-990.738,515.514,0.041,0.041,0.138,0.592,0.527,316,"OK","vpd90 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","90"
"c3",7,90,-1016.586,3.389,0.045,-990.659,515.475,0.041,0.041,0.138,0.592,0.527,316,"OK","vpd90 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","90"
"c3",6,90,-1016.426,3.548,0.042,-990.5,515.395,0.041,0.041,0.138,0.592,0.526,316,"OK","vpd90 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","90"
"c3",60,90,-1016.366,3.608,0.041,-990.44,515.365,0.041,0.041,0.146,0.595,0.526,316,"OK","vpd90 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","90"
"c3",5,90,-1016.345,3.629,0.04,-990.418,515.354,0.041,0.041,0.138,0.592,0.526,316,"OK","vpd90 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","90"
"c3",4,90,-1016.07,3.904,0.035,-990.144,515.217,0.041,0.041,0.137,0.591,0.526,316,"OK","vpd90 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","90"
"c3",3,90,-1015.992,3.982,0.034,-990.066,515.178,0.041,0.041,0.136,0.591,0.527,316,"OK","vpd90 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","90"
"c3",2,90,-1015.756,4.218,0.03,-989.83,515.06,0.041,0.041,0.136,0.591,0.526,316,"OK","vpd90 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","90"
"c3",1,90,-1015.338,4.636,0.024,-989.412,514.851,0.041,0.041,0.136,0.591,0.526,316,"OK","vpd90 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","90"
"c3",90,90,-1013.6,6.374,0.01,-987.674,513.982,0.041,0.041,0.143,0.59,0.521,316,"OK","vpd90 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","90"
"c3",90,30,-993.811,26.163,0,-967.884,504.087,0.042,0.042,0.12,0.558,0.498,316,"OK","vpd30 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","30"
"c3",90,60,-992.166,27.808,0,-966.239,503.265,0.042,0.042,0.114,0.559,0.502,316,"OK","vpd60 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","60"
"c3",90,20,-990.599,29.376,0,-964.672,502.481,0.043,0.043,0.111,0.556,0.501,316,"OK","vpd20 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","20"
"c3",90,10,-990.564,29.411,0,-964.637,502.464,0.043,0.043,0.107,0.556,0.503,316,"OK","vpd10 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","10"
"c3",90,5,-990.535,29.439,0,-964.609,502.449,0.043,0.043,0.111,0.557,0.501,316,"OK","vpd05 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","5"
"c3",90,4,-990.422,29.552,0,-964.495,502.393,0.043,0.043,0.11,0.557,0.502,316,"OK","vpd04 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","4"
"c3",90,6,-990.324,29.65,0,-964.398,502.344,0.043,0.043,0.11,0.556,0.501,316,"OK","vpd06 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","6"
"c3",90,3,-990.244,29.731,0,-964.317,502.304,0.043,0.043,0.107,0.556,0.502,316,"OK","vpd03 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","3"
"c3",90,7,-990.208,29.766,0,-964.281,502.286,0.043,0.043,0.109,0.556,0.502,316,"OK","vpd07 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","7"
"c3",90,2,-990.188,29.786,0,-964.262,502.276,0.043,0.043,0.109,0.557,0.503,316,"OK","vpd02 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","2"
"c3",90,15,-990.186,29.788,0,-964.259,502.275,0.043,0.043,0.107,0.556,0.503,316,"OK","vpd15 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","15"
