"photo","sm_days","vpd_days","AICc","deltaAICc","weight","BIC","logLik","RMSE","RMSE_perf","R2_marg","R2_cond","ICC","nobs","convergence","formula","sm_days_factor","vpd_days_factor"
"c3",90,8,-990.175,29.799,0,-964.249,502.269,0.043,0.043,0.109,0.556,0.502,316,"OK","vpd08 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","8"
"c3",90,1,-990.152,29.822,0,-964.226,502.258,0.043,0.043,0.108,0.556,0.502,316,"OK","vpd01 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","1"
"c3",90,9,-990.15,29.824,0,-964.223,502.257,0.043,0.043,0.108,0.556,0.503,316,"OK","vpd09 + (wn90_perc * soil.no3n) + (1 | NCRS.code)","90","9"
"c3",60,30,-989.285,30.689,0,-963.359,501.824,0.043,0.043,0.103,0.558,0.508,316,"OK","vpd30 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","30"
"c3",60,60,-988.603,31.371,0,-962.676,501.483,0.043,0.043,0.098,0.558,0.509,316,"OK","vpd60 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","60"
"c3",60,20,-985.707,34.267,0,-959.781,500.036,0.043,0.043,0.093,0.555,0.51,316,"OK","vpd20 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","20"
"c3",60,5,-985.144,34.83,0,-959.218,499.754,0.043,0.043,0.092,0.555,0.51,316,"OK","vpd05 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","5"
"c3",60,2,-984.913,35.061,0,-958.987,499.638,0.043,0.043,0.09,0.557,0.513,316,"OK","vpd02 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","2"
"c3",60,6,-984.863,35.112,0,-958.936,499.613,0.043,0.043,0.09,0.554,0.51,316,"OK","vpd06 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","6"
"c3",60,4,-984.819,35.155,0,-958.893,499.591,0.043,0.043,0.09,0.555,0.512,316,"OK","vpd04 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","4"
"c3",60,1,-984.717,35.257,0,-958.791,499.54,0.043,0.043,0.089,0.555,0.511,316,"OK","vpd01 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","1"
"c3",60,15,-984.714,35.26,0,-958.788,499.539,0.043,0.043,0.089,0.555,0.511,316,"OK","vpd15 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","15"
"c3",60,7,-984.695,35.279,0,-958.769,499.529,0.043,0.043,0.089,0.555,0.511,316,"OK","vpd07 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","7"
"c3",60,8,-984.63,35.344,0,-958.704,499.497,0.043,0.043,0.089,0.554,0.511,316,"OK","vpd08 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","8"
"c3",60,9,-984.518,35.456,0,-958.591,499.441,0.043,0.043,0.088,0.554,0.511,316,"OK","vpd09 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","9"
"c3",60,3,-984.399,35.575,0,-958.472,499.381,0.043,0.043,0.086,0.554,0.513,316,"OK","vpd03 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","3"
"c3",60,10,-984.392,35.582,0,-958.465,499.378,0.043,0.043,0.086,0.554,0.513,316,"OK","vpd10 + (wn60_perc * soil.no3n) + (1 | NCRS.code)","60","10"
"c3",20,30,-982.622,37.352,0,-956.696,498.493,0.043,0.043,0.082,0.549,0.509,316,"OK","vpd30 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","30"
"c3",15,30,-982.352,37.622,0,-956.425,498.358,0.043,0.043,0.084,0.548,0.507,316,"OK","vpd30 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","30"
"c3",30,30,-982.29,37.684,0,-956.364,498.327,0.043,0.043,0.082,0.548,0.508,316,"OK","vpd30 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","30"
"c3",10,30,-981.349,38.626,0,-955.422,497.856,0.043,0.043,0.084,0.545,0.503,316,"OK","vpd30 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","30"
"c3",1,30,-980.945,39.029,0,-955.019,497.655,0.043,0.043,0.084,0.544,0.503,316,"OK","vpd30 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","30"
"c3",5,30,-980.935,39.039,0,-955.008,497.649,0.043,0.043,0.083,0.544,0.503,316,"OK","vpd30 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","30"
"c3",9,30,-980.821,39.153,0,-954.895,497.592,0.043,0.043,0.082,0.545,0.504,316,"OK","vpd30 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","30"
"c3",6,30,-980.668,39.306,0,-954.742,497.516,0.043,0.043,0.082,0.544,0.504,316,"OK","vpd30 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","30"
"c3",8,30,-980.532,39.442,0,-954.605,497.448,0.043,0.043,0.081,0.545,0.504,316,"OK","vpd30 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","30"
"c3",7,30,-980.504,39.47,0,-954.578,497.434,0.043,0.043,0.081,0.544,0.504,316,"OK","vpd30 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","30"
"c3",4,30,-980.402,39.572,0,-954.476,497.383,0.043,0.043,0.081,0.544,0.503,316,"OK","vpd30 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","30"
"c3",2,30,-980.318,39.657,0,-954.391,497.341,0.043,0.043,0.081,0.544,0.504,316,"OK","vpd30 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","30"
"c3",15,60,-979.955,40.019,0,-954.028,497.159,0.043,0.043,0.074,0.545,0.509,316,"OK","vpd60 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","60"
"c3",3,30,-979.952,40.022,0,-954.026,497.158,0.043,0.043,0.08,0.543,0.504,316,"OK","vpd30 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","30"
"c3",20,60,-979.889,40.085,0,-953.962,497.126,0.043,0.043,0.07,0.546,0.512,316,"OK","vpd60 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","60"
"c3",1,60,-979.846,40.128,0,-953.92,497.105,0.043,0.043,0.079,0.543,0.503,316,"OK","vpd60 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","60"
"c3",30,60,-979.708,40.266,0,-953.782,497.036,0.043,0.043,0.07,0.545,0.511,316,"OK","vpd60 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","60"
"c3",10,60,-979.511,40.463,0,-953.585,496.938,0.043,0.043,0.077,0.543,0.505,316,"OK","vpd60 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","60"
"c3",5,60,-979.413,40.561,0,-953.487,496.888,0.043,0.043,0.077,0.543,0.504,316,"OK","vpd60 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","60"
"c3",6,60,-979.038,40.937,0,-953.111,496.701,0.043,0.043,0.076,0.543,0.505,316,"OK","vpd60 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","60"
"c3",2,60,-979.023,40.951,0,-953.096,496.693,0.043,0.043,0.076,0.542,0.505,316,"OK","vpd60 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","60"
"c3",9,60,-979.017,40.957,0,-953.09,496.69,0.043,0.043,0.075,0.543,0.505,316,"OK","vpd60 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","60"
"c3",4,60,-978.964,41.011,0,-953.037,496.664,0.043,0.043,0.076,0.542,0.505,316,"OK","vpd60 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","60"
"c3",7,60,-978.768,41.206,0,-952.842,496.566,0.043,0.043,0.075,0.543,0.506,316,"OK","vpd60 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","60"
"c3",8,60,-978.768,41.206,0,-952.842,496.566,0.043,0.043,0.075,0.543,0.506,316,"OK","vpd60 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","60"
"c3",3,60,-978.568,41.407,0,-952.641,496.466,0.043,0.043,0.074,0.542,0.505,316,"OK","vpd60 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","60"
"c3",1,3,-978.157,41.817,0,-952.231,496.261,0.043,0.043,0.075,0.543,0.506,316,"OK","vpd03 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","3"
"c3",1,10,-977.381,42.593,0,-951.455,495.873,0.043,0.043,0.073,0.544,0.508,316,"OK","vpd10 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","10"
"c3",2,3,-976.162,43.813,0,-950.235,495.263,0.044,0.044,0.07,0.543,0.509,316,"OK","vpd03 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","3"
"c3",2,10,-975.553,44.421,0,-949.627,494.958,0.044,0.044,0.068,0.544,0.511,316,"OK","vpd10 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","10"
"c3",1,9,-975.251,44.723,0,-949.325,494.807,0.044,0.044,0.069,0.544,0.51,316,"OK","vpd09 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","9"
"c3",5,3,-975.245,44.729,0,-949.319,494.805,0.044,0.044,0.069,0.544,0.51,316,"OK","vpd03 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","3"
"c3",4,3,-975.212,44.762,0,-949.285,494.788,0.044,0.044,0.069,0.543,0.51,316,"OK","vpd03 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","3"
"c3",3,3,-975.193,44.781,0,-949.266,494.778,0.044,0.044,0.067,0.543,0.509,316,"OK","vpd03 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","3"
"c3",1,2,-975.122,44.852,0,-949.195,494.743,0.044,0.044,0.069,0.54,0.506,316,"OK","vpd02 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","2"
"c3",1,4,-974.979,44.996,0,-949.052,494.671,0.044,0.044,0.069,0.542,0.509,316,"OK","vpd04 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","4"
"c3",1,8,-974.948,45.026,0,-949.021,494.656,0.044,0.044,0.068,0.543,0.509,316,"OK","vpd08 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","8"
"c3",1,7,-974.917,45.058,0,-948.99,494.64,0.044,0.044,0.068,0.543,0.509,316,"OK","vpd07 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","7"
"c3",5,10,-974.912,45.062,0,-948.986,494.638,0.044,0.044,0.068,0.544,0.511,316,"OK","vpd10 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","10"
"c3",1,1,-974.836,45.138,0,-948.91,494.6,0.044,0.044,0.069,0.542,0.509,316,"OK","vpd01 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","1"
"c3",1,6,-974.772,45.202,0,-948.846,494.568,0.044,0.044,0.068,0.543,0.509,316,"OK","vpd06 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","6"
"c3",4,10,-974.768,45.206,0,-948.842,494.566,0.044,0.044,0.067,0.544,0.511,316,"OK","vpd10 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","10"
"c3",1,20,-974.761,45.213,0,-948.835,494.562,0.044,0.044,0.069,0.541,0.507,316,"OK","vpd20 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","20"
"c3",1,15,-974.698,45.276,0,-948.771,494.531,0.044,0.044,0.068,0.542,0.509,316,"OK","vpd15 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","15"
"c3",1,5,-974.692,45.282,0,-948.765,494.528,0.044,0.044,0.068,0.542,0.509,316,"OK","vpd05 + (wn01_perc * soil.no3n) + (1 | NCRS.code)","1","5"
"c3",3,10,-974.675,45.299,0,-948.749,494.519,0.044,0.044,0.066,0.544,0.511,316,"OK","vpd10 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","10"
"c3",6,3,-974.468,45.506,0,-948.541,494.416,0.044,0.044,0.067,0.543,0.51,316,"OK","vpd03 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","3"
"c3",10,3,-974.338,45.637,0,-948.411,494.351,0.044,0.044,0.066,0.542,0.51,316,"OK","vpd03 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","3"
"c3",6,10,-974.184,45.791,0,-948.257,494.274,0.044,0.044,0.066,0.544,0.512,316,"OK","vpd10 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","10"
"c3",10,10,-974.126,45.848,0,-948.199,494.245,0.044,0.044,0.065,0.543,0.511,316,"OK","vpd10 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","10"
"c3",9,3,-974.002,45.972,0,-948.076,494.183,0.044,0.044,0.065,0.542,0.51,316,"OK","vpd03 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","3"
"c3",8,3,-973.833,46.142,0,-947.906,494.098,0.044,0.044,0.065,0.543,0.511,316,"OK","vpd03 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","3"
"c3",7,3,-973.826,46.148,0,-947.9,494.095,0.044,0.044,0.065,0.543,0.511,316,"OK","vpd03 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","3"
"c3",9,10,-973.749,46.225,0,-947.822,494.056,0.044,0.044,0.064,0.543,0.512,316,"OK","vpd10 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","10"
"c3",5,20,-973.612,46.362,0,-947.686,493.988,0.044,0.044,0.067,0.541,0.508,316,"OK","vpd20 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","20"
"c3",2,9,-973.607,46.367,0,-947.681,493.986,0.044,0.044,0.064,0.543,0.512,316,"OK","vpd09 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","9"
"c3",7,10,-973.577,46.397,0,-947.651,493.97,0.044,0.044,0.064,0.544,0.512,316,"OK","vpd10 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","10"
"c3",8,10,-973.553,46.421,0,-947.627,493.958,0.044,0.044,0.064,0.544,0.512,316,"OK","vpd10 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","10"
"c3",2,20,-973.495,46.479,0,-947.568,493.929,0.044,0.044,0.065,0.541,0.508,316,"OK","vpd20 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","20"
"c3",2,2,-973.444,46.531,0,-947.517,493.904,0.044,0.044,0.065,0.541,0.509,316,"OK","vpd02 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","2"
"c3",10,20,-973.425,46.549,0,-947.499,493.894,0.044,0.044,0.065,0.54,0.508,316,"OK","vpd20 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","20"
"c3",2,4,-973.35,46.624,0,-947.424,493.857,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd04 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","4"
"c3",2,8,-973.344,46.63,0,-947.418,493.854,0.044,0.044,0.064,0.543,0.511,316,"OK","vpd08 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","8"
"c3",2,7,-973.311,46.663,0,-947.384,493.837,0.044,0.044,0.064,0.543,0.511,316,"OK","vpd07 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","7"
"c3",5,9,-973.266,46.708,0,-947.34,493.815,0.044,0.044,0.065,0.543,0.512,316,"OK","vpd09 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","9"
"c3",4,20,-973.227,46.747,0,-947.301,493.795,0.044,0.044,0.065,0.54,0.508,316,"OK","vpd20 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","20"
"c3",15,20,-973.219,46.755,0,-947.292,493.791,0.044,0.044,0.062,0.542,0.512,316,"OK","vpd20 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","20"
"c3",2,1,-973.216,46.758,0,-947.29,493.79,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd01 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","1"
"c3",2,6,-973.199,46.775,0,-947.272,493.781,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd06 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","6"
"c3",2,15,-973.167,46.808,0,-947.24,493.765,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd15 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","15"
"c3",2,5,-973.145,46.83,0,-947.218,493.754,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd05 + (wn02_perc * soil.no3n) + (1 | NCRS.code)","2","5"
"c3",5,2,-973.095,46.879,0,-947.169,493.729,0.044,0.044,0.065,0.541,0.509,316,"OK","vpd02 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","2"
"c3",5,8,-973.072,46.902,0,-947.146,493.718,0.044,0.044,0.065,0.543,0.511,316,"OK","vpd08 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","8"
"c3",6,20,-973.058,46.916,0,-947.132,493.711,0.044,0.044,0.065,0.54,0.509,316,"OK","vpd20 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","20"
"c3",5,7,-973.054,46.92,0,-947.127,493.709,0.044,0.044,0.065,0.543,0.511,316,"OK","vpd07 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","7"
"c3",5,4,-973.029,46.945,0,-947.103,493.697,0.044,0.044,0.065,0.542,0.51,316,"OK","vpd04 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","4"
"c3",4,9,-973.027,46.947,0,-947.101,493.695,0.044,0.044,0.064,0.543,0.512,316,"OK","vpd09 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","9"
"c3",5,15,-972.989,46.985,0,-947.063,493.677,0.044,0.044,0.065,0.542,0.51,316,"OK","vpd15 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","15"
"c3",5,6,-972.986,46.988,0,-947.06,493.675,0.044,0.044,0.065,0.542,0.511,316,"OK","vpd06 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","6"
"c3",5,1,-972.977,46.998,0,-947.05,493.67,0.044,0.044,0.065,0.542,0.51,316,"OK","vpd01 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","1"
"c3",5,5,-972.957,47.018,0,-947.03,493.66,0.044,0.044,0.065,0.542,0.51,316,"OK","vpd05 + (wn05_perc * soil.no3n) + (1 | NCRS.code)","5","5"
"c3",9,20,-972.902,47.072,0,-946.976,493.633,0.044,0.044,0.064,0.54,0.508,316,"OK","vpd20 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","20"
"c3",3,20,-972.88,47.095,0,-946.953,493.622,0.044,0.044,0.064,0.54,0.508,316,"OK","vpd20 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","20"
"c3",4,2,-972.85,47.125,0,-946.923,493.607,0.044,0.044,0.064,0.541,0.509,316,"OK","vpd02 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","2"
"c3",30,20,-972.838,47.136,0,-946.912,493.601,0.044,0.044,0.057,0.543,0.515,316,"OK","vpd20 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","20"
"c3",3,9,-972.825,47.149,0,-946.898,493.594,0.044,0.044,0.062,0.543,0.512,316,"OK","vpd09 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","9"
"c3",4,8,-972.81,47.164,0,-946.884,493.587,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd08 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","8"
"c3",4,4,-972.789,47.186,0,-946.862,493.576,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd04 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","4"
"c3",4,7,-972.788,47.187,0,-946.861,493.576,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd07 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","7"
"c3",4,6,-972.706,47.268,0,-946.78,493.535,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd06 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","6"
"c3",4,1,-972.697,47.277,0,-946.771,493.53,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd01 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","1"
"c3",4,15,-972.696,47.278,0,-946.77,493.53,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd15 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","15"
"c3",4,5,-972.665,47.31,0,-946.738,493.514,0.044,0.044,0.064,0.542,0.511,316,"OK","vpd05 + (wn04_perc * soil.no3n) + (1 | NCRS.code)","4","5"
"c3",8,20,-972.645,47.33,0,-946.718,493.504,0.044,0.044,0.064,0.54,0.509,316,"OK","vpd20 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","20"
"c3",3,2,-972.643,47.331,0,-946.717,493.504,0.044,0.044,0.063,0.54,0.509,316,"OK","vpd02 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","2"
"c3",7,20,-972.643,47.331,0,-946.717,493.504,0.044,0.044,0.063,0.54,0.509,316,"OK","vpd20 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","20"
"c3",10,9,-972.601,47.373,0,-946.675,493.483,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd09 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","9"
"c3",3,4,-972.584,47.39,0,-946.657,493.474,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd04 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","4"
"c3",3,8,-972.583,47.391,0,-946.657,493.473,0.044,0.044,0.062,0.542,0.512,316,"OK","vpd08 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","8"
"c3",6,9,-972.576,47.398,0,-946.65,493.47,0.044,0.044,0.063,0.543,0.512,316,"OK","vpd09 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","9"
"c3",3,7,-972.553,47.421,0,-946.627,493.458,0.044,0.044,0.062,0.542,0.511,316,"OK","vpd07 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","7"
"c3",10,2,-972.517,47.457,0,-946.591,493.44,0.044,0.044,0.063,0.54,0.51,316,"OK","vpd02 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","2"
"c3",10,5,-972.484,47.49,0,-946.557,493.424,0.044,0.044,0.063,0.54,0.509,316,"OK","vpd05 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","5"
"c3",10,8,-972.479,47.496,0,-946.552,493.421,0.044,0.044,0.063,0.541,0.51,316,"OK","vpd08 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","8"
"c3",10,7,-972.473,47.502,0,-946.546,493.418,0.044,0.044,0.063,0.541,0.51,316,"OK","vpd07 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","7"
