"treatment","df","coef","Chisq","P_value"
"Intercept","-"," 2.27e+01","-","-"
"Soil moisture (SM)","1","-7.16e+00","4.196","0.041"
"Soil N (N)","1","-2.93e-01","10.532","0.001"
"PFT","2","-","90.898","<0.001"
"SM * N","1"," 5.77e-01","0.887","0.346"
"SM * PFT","2","-","8.625","0.013"
"N * PFT","2","-","0.953","0.621"
"SM * N * PFT","2","-","0.316","0.854"
